number	name	name_kana	grade_member	grade_platina	grade_premium	address	tel
3570015	B-TO-BE		○			京都府京都市中京区河原町三条ル下丸屋町401-2	075-223-0574
21000022	COMKAMON		○			岡山県岡山市北区幸町2-6	086-206-3956
30002052	voychica		○			兵庫県尼崎市西立花町1-2-1	06-6419-5600
3480006	HAIR DESIGN ART NOTO		○			宮崎県宮崎市下北方町井尻3573-4	0985-89-2253
3560003	agradecer		○			兵庫県姫路市龍野町6-20-1	079-292-5155
40002167	Trecca		○			静岡県磐田市岡32	0538-86-3920
40002172	brisa　青山			○		東京都港区南青山5-10-17　グランツキステン1F	03-6434-1146
3570016	Vendange+LIM		○			大阪府大阪市西区南堀江1-19-27　山崎ビル3F	06-6535-7414
60001155	美容室RON+		○			長崎県諫早市多良見町市布1515-1-1F	0957-43-5523
10003560	Hair Sowaka			○		福岡県太宰府五条1丁目18-2　エサキビル1F-A	092-928-5055
12001179	Lagoon			○		福岡県大牟田市大黒町1-17	0944-53-3020
13002067	Hair&Design　primo		○			熊本県菊池郡菊陽町津久礼2946-3	096-201-3943
10001954	株式会社ｹｰ･ｼﾞｰ･ｶﾝﾊﾟﾆｰ（Keep Good Company）		○			福岡県福岡市中央区大名1-14-25-5F	092-732-7667
16000424	FRANGIPANI		○			宮崎県宮崎市中村東3-2-26　長友ビル1F	0985-59-0007
13000993	Ｗ（ダブリュー）			○		熊本県八千代市田中西町15-15　ナイスビル1Ｆ	0965-32-7764
31000669	metsa		○			兵庫県西宮市樋之池町12-4　ｱﾙｼﾞｬﾝ･ｺｰﾄﾋﾞﾙ1F	0798-70-4112
40002159	MARBLES		○			東京都府中市分梅町3-2-2　ファミールヴィレッジ102	042-362-6818
3470007	美容室ランコントル		○			熊本県玉名市河崎523-3	0968-74-2128
3440007	HAIR PEACE		○			大分県大分市府内町1-4-16　河電ビル2F	097-532-2988
3500004	Iris			○		鹿児島県鹿児島市石谷町2067-1	099-248-9014
15000485	Charms hair		○			大分県大分市明野北２－１４－６	097-529-8063
30002409	ring		○			大阪府大阪市西区南堀江２－１３－２	06-6575-9762
40002171	ワンパーセンター		○			東京都中央区銀座４－９－５銀昭ビル２Ｆ	03-6278-7036
3570020	Beni		○			奈良県生駒市俵口町１１１３－１４	0743-89-0908
3430003	美容工房ル・モード			○		福岡県北九州市小倉北区上到津4丁目3-10	093-651-7735
10001963	宇宙堂		○			福岡県福岡市中央区薬院１－１４－２５つるやビル１Ｆ	092-724-3434
13002080	NANAN		○			熊本県熊本市中央区上通町10-22木下ビル２Ｆ	080-5256-5885
13002108	Palette Hair Store		○			熊本県熊本市中央区新市街3-19プールスビルＴ-Ⅱ　2Ｆ	096-277-1803
3400009	Ｐｕｌｉｎ－ｈａｉｒ　ｒｏｏｍ			○		福岡県筑紫野市二日市中央５－１１－７	092-517-7095
